state,act_participation,act_composite,sat_participation,sat_ebrw,sat_math,sat_total,weighted_act_comp,weighted_sat_comp,overall_grade_weight
Alabama,1.0,18.9,0.07,583.0,560.0,1143.0,0.5249999999999999,0.714375,0.6196875
Alaska,0.38,20.1,0.41,556.0,541.0,1097.0,0.5583333333333333,0.685625,0.6219791666666667
Arizona,0.73,19.0,0.31,569.0,565.0,1134.0,0.5277777777777778,0.70875,0.618263888888889
Arkansas,1.0,19.3,0.06,582.0,559.0,1141.0,0.5361111111111111,0.713125,0.6246180555555556
California,0.23,22.6,0.63,534.0,531.0,1065.0,0.6277777777777778,0.665625,0.6467013888888888
Colorado,0.27,23.8,1.0,518.0,506.0,1024.0,0.6611111111111111,0.64,0.6505555555555556
Connecticut,0.22,25.5,1.0,529.0,516.0,1046.0,0.7083333333333334,0.65375,0.6810416666666668
Delaware,0.13,24.1,1.0,499.0,486.0,985.0,0.6694444444444445,0.615625,0.6425347222222222
District of Columbia,0.32,23.5,0.94,495.0,480.0,975.0,0.6527777777777778,0.609375,0.6310763888888888
Florida,0.54,20.1,1.0,516.0,483.0,999.0,0.5583333333333333,0.624375,0.5913541666666666
Georgia,0.49,21.4,0.71,538.0,519.0,1058.0,0.5944444444444444,0.66125,0.6278472222222222
Hawaii,0.8,19.0,0.54,550.0,550.0,1100.0,0.5277777777777778,0.6875,0.6076388888888888
Idaho,0.31,22.5,1.0,505.0,488.0,993.0,0.625,0.620625,0.6228125
Illinois,0.35,24.3,1.0,509.0,504.0,1013.0,0.675,0.633125,0.6540625
Indiana,0.29,22.5,0.66,543.0,537.0,1080.0,0.625,0.675,0.65
Iowa,0.66,21.6,0.03,622.0,622.0,1244.0,0.6000000000000001,0.7775,0.68875
Kansas,0.72,21.2,0.04,618.0,623.0,1241.0,0.5888888888888889,0.775625,0.6822569444444444
Kentucky,1.0,19.8,0.04,620.0,612.0,1232.0,0.55,0.77,0.66
Louisiana,1.0,18.8,0.05,610.0,591.0,1200.0,0.5222222222222223,0.75,0.6361111111111111
Maine,0.06,24.3,0.99,512.0,502.0,1013.0,0.675,0.633125,0.6540625
Maryland,0.28,22.3,0.82,535.0,523.0,1058.0,0.6194444444444445,0.66125,0.6403472222222222
Massachusetts,0.21,25.5,0.81,559.0,561.0,1120.0,0.7083333333333334,0.7,0.7041666666666666
Michigan,0.19,24.4,1.0,507.0,496.0,1003.0,0.6777777777777777,0.626875,0.6523263888888888
Minnesota,0.95,21.4,0.04,636.0,648.0,1284.0,0.5944444444444444,0.8025,0.6984722222222222
Mississippi,1.0,18.4,0.03,628.0,608.0,1237.0,0.5111111111111111,0.773125,0.6421180555555555
Missouri,0.82,20.8,0.04,622.0,615.0,1236.0,0.5777777777777778,0.7725,0.675138888888889
Montana,1.0,19.8,0.09,603.0,596.0,1199.0,0.55,0.749375,0.6496875
Nebraska,1.0,20.0,0.03,628.0,631.0,1260.0,0.5555555555555556,0.7875,0.6715277777777777
Nevada,1.0,17.9,0.2,580.0,576.0,1156.0,0.4972222222222222,0.7225,0.6098611111111111
New Hampshire,0.14,25.0,0.95,533.0,526.0,1059.0,0.6944444444444444,0.661875,0.6781597222222222
New Jersey,0.25,24.2,0.82,544.0,545.0,1090.0,0.6722222222222222,0.68125,0.6767361111111111
New Mexico,0.63,19.3,0.18,543.0,530.0,1073.0,0.5361111111111111,0.670625,0.6033680555555556
New York,0.22,24.5,0.79,531.0,533.0,1064.0,0.6805555555555556,0.665,0.6727777777777778
North Carolina,1.0,19.0,0.51,554.0,546.0,1100.0,0.5277777777777778,0.6875,0.6076388888888888
North Dakota,0.96,19.9,0.02,627.0,636.0,1263.0,0.5527777777777777,0.789375,0.6710763888888889
Ohio,1.0,20.0,0.19,550.0,548.0,1097.0,0.5555555555555556,0.685625,0.6205902777777779
Oklahoma,1.0,18.9,0.22,490.0,472.0,963.0,0.5249999999999999,0.601875,0.5634375
Oregon,0.42,21.1,0.51,562.0,550.0,1112.0,0.5861111111111111,0.695,0.6405555555555555
Pennsylvania,0.17,23.6,0.7,545.0,537.0,1082.0,0.6555555555555556,0.67625,0.6659027777777777
Rhode Island,0.12,24.7,1.0,503.0,492.0,995.0,0.6861111111111111,0.621875,0.6539930555555555
South Carolina,0.78,18.8,0.68,526.0,504.0,1030.0,0.5222222222222223,0.64375,0.5829861111111112
South Dakota,0.75,21.6,0.03,633.0,635.0,1268.0,0.6000000000000001,0.7925,0.69625
Tennessee,1.0,19.4,0.07,618.0,602.0,1220.0,0.5388888888888889,0.7625,0.6506944444444445
Texas,0.39,20.5,0.68,515.0,507.0,1022.0,0.5694444444444444,0.63875,0.6040972222222223
Utah,1.0,20.3,0.04,614.0,615.0,1230.0,0.5638888888888889,0.76875,0.6663194444444445
Vermont,0.2,24.1,0.66,560.0,546.0,1106.0,0.6694444444444445,0.69125,0.6803472222222222
Virginia,0.21,24.0,0.68,567.0,551.0,1119.0,0.6666666666666666,0.699375,0.6830208333333333
Washington,0.24,22.1,0.7,539.0,535.0,1074.0,0.6138888888888889,0.67125,0.6425694444444445
West Virginia,0.49,20.8,0.99,483.0,460.0,943.0,0.5777777777777778,0.589375,0.583576388888889
Wisconsin,1.0,20.3,0.03,635.0,648.0,1283.0,0.5638888888888889,0.801875,0.6828819444444445
Wyoming,1.0,19.8,0.03,623.0,615.0,1238.0,0.55,0.77375,0.661875
National,0.52,20.7,,,,,0.575,,
