school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
Stanford University,True,47452,0.043,1440.0,1570.0,32.0,35.0
Harvard College,True,42749,0.047,1460.0,1580.0,33.0,35.0
Princeton University,True,35370,0.055,1440.0,1570.0,32.0,35.0
Columbia University,True,40203,0.055,1450.0,1560.0,33.0,35.0
Yale University,True,36844,0.061,1460.0,1570.0,33.0,35.0
California Institute of Technology,True,8367,0.064,1530.0,1560.0,35.0,36.0
Massachusetts Institute of Technology,True,21706,0.067,1500.0,1570.0,34.0,36.0
Brown University,True,38674,0.071,1440.0,1570.0,33.0,35.0
University of Chicago,True,32283,0.073,1490.0,1570.0,33.0,35.0
Pomona College,True,10401,0.07400000000000001,1390.0,1540.0,32.0,35.0
University of Pennsylvania,True,44961,0.077,1450.0,1560.0,33.0,35.0
Dartmouth College,True,23650,0.079,1440.0,1560.0,32.0,35.0
Bowdoin College,True,9332,0.08800000000000001,1330.0,1520.0,31.0,34.0
Duke University,True,35767,0.08900000000000001,1450.0,1570.0,33.0,35.0
Swarthmore College,True,11442,0.08900000000000001,1380.0,1540.0,31.0,35.0
Northwestern University,True,40585,0.091,1440.0,1550.0,33.0,35.0
Vanderbilt University,True,37310,0.091,1460.0,1560.0,33.0,35.0
Claremont McKenna College,True,6066,0.10300000000000001,1360.0,1510.0,31.0,34.0
Johns Hopkins University,True,29129,0.106,1470.0,1560.0,33.0,35.0
Cornell University,True,49114,0.109,1400.0,1560.0,32.0,35.0
Rice University,True,20923,0.111,1450.0,1560.0,33.0,35.0
Amherst College,True,10569,0.113,1410.0,1550.0,31.0,34.0
Barnard College,True,9320,0.11800000000000001,1340.0,1520.0,31.0,34.0
Bates College,True,8222,0.121,1270.0,1480.0,29.0,33.0
University of California—​Los Angeles,True,111322,0.12300000000000001,1290.0,1510.0,27.0,34.0
Tulane University,True,42185,0.129,1360.0,1520.0,31.0,33.0
University of Southern California,True,64352,0.13,1350.0,1530.0,30.0,34.0
Williams College,True,9560,0.13,1410.0,1550.0,32.0,35.0
Colby College,True,12313,0.13,1350.0,1510.0,31.0,33.0
Pitzer College,True,4358,0.133,1340.0,1490.0,30.0,33.0
Colorado College,True,9456,0.135,1300.0,1480.0,29.0,33.0
Harvey Mudd College,True,4045,0.13699999999999998,1490.0,1570.0,33.0,35.0
Georgetown University,True,22872,0.145,1370.0,1530.0,31.0,34.0
University of California—​Berkeley,True,89621,0.14800000000000002,1300.0,1530.0,28.0,34.0
Tufts University,True,22766,0.15,1390.0,1540.0,32.0,34.0
Washington University in St. Louis,True,31320,0.15,1470.0,1570.0,32.0,35.0
Middlebury College,True,9754,0.154,1360.0,1530.0,32.0,34.0
Carnegie Mellon University,True,27634,0.154,1460.0,1560.0,33.0,35.0
University of Notre Dame,True,22200,0.158,1400.0,1550.0,32.0,35.0
The Cooper Union,True,2447,0.16,1283.0,1510.0,31.0,34.0
New York University,True,79462,0.162,1370.0,1510.0,30.0,34.0
Haverford College,True,4963,0.163,1380.0,1540.0,32.0,34.0
Wesleyan University,True,13264,0.165,1320.0,1510.0,31.0,34.0
Hamilton College,True,8279,0.165,1370.0,1520.0,32.0,34.0
Northeastern University,True,62263,0.18100000000000002,1390.0,1540.0,32.0,35.0
Davidson College,True,5982,0.18100000000000002,1310.0,1485.0,30.0,33.0
Emory University,True,27559,0.185,1350.0,1520.0,31.0,34.0
Carleton College,True,7382,0.19,1360.0,1540.0,31.0,34.0
Georgia Institute of Technology,True,36856,0.20600000000000002,1300.0,1510.0,29.0,34.0
Washington and Lee University,True,5855,0.212,1348.0,1490.0,31.0,34.0
Wellesley College,True,6395,0.21600000000000003,1360.0,1530.0,31.0,34.0
Boston University,True,64481,0.221,1330.0,1500.0,30.0,33.0
Colgate University,True,9951,0.226,1330.0,1500.0,31.0,34.0
University of North Carolina—​Chapel Hill,True,42466,0.226,1300.0,1490.0,27.0,33.0
University of Michigan—​Ann Arbor,True,64972,0.22899999999999998,1340.0,1530.0,31.0,34.0
Vassar College,True,8961,0.237,1370.0,1530.0,31.0,34.0
Rhode Island School of Design,True,3913,0.239,1180.0,1440.0,26.0,32.0
University of Virginia,True,40839,0.239,1340.0,1500.0,30.0,34.0
Grinnell College,True,7349,0.244,1370.0,1530.0,30.0,34.0
Babson College,True,6362,0.24,1270.0,1450.0,28.0,32.0
University of California—​Irvine,True,95568,0.265,1180.0,1440.0,,
University of Miami,True,38919,0.271,1280.0,1420.0,29.0,32.0
Boston College,True,35552,0.272,1370.0,1490.0,31.0,34.0
Villanova University,True,22909,0.282,1320.0,1470.0,31.0,34.0
University of Richmond,True,12356,0.28300000000000003,1290.0,1460.0,30.0,33.0
California State Polytechnic University—​San Luis Obispo,True,54072,0.284,1250.0,1420.0,26.0,32.0
Trinity University,True,9864,0.28800000000000003,1290.0,1450.0,29.0,32.0
Case Western Reserve University,True,26642,0.293,1350.0,1520.0,30.0,34.0
University of Rochester,True,20216,0.295,1300.0,1500.0,29.0,33.0
University of California—​Santa Barbara,True,93457,0.29600000000000004,1260.0,1460.0,25.0,33.0
Wake Forest University,True,12559,0.29600000000000004,1320.0,1490.0,30.0,33.0
Skidmore College,True,11102,0.3,1220.0,1400.0,28.0,32.0
University of California—​San Diego,True,97901,0.302,1250.0,1470.0,26.0,33.0
Franklin and Marshall College,True,9502,0.304,1250.0,1460.0,28.0,32.0
Brandeis University,True,11798,0.311,1280.0,1500.0,29.0,33.0
Lafayette College,True,8521,0.315,1250.0,1440.0,28.0,33.0
American University,True,18984,0.315,1220.0,1380.0,27.0,31.0
University of Texas—​Austin,True,53525,0.318,1240.0,1470.0,27.0,33.0
Scripps College,True,3022,0.32,1333.0,1490.0,30.0,33.0
Lehigh University,True,15649,0.321,1280.0,1450.0,29.0,33.0
Macalester College,True,6598,0.32299999999999995,1320.0,1510.0,29.0,33.0
Smith College,True,5597,0.325,1340.0,1520.0,30.0,33.0
Bryn Mawr College,True,3332,0.331,1290.0,1510.0,29.0,33.0
Trinity College (Hartford),True,6096,0.335,1300.0,1460.0,29.0,32.0
Denison University,True,8042,0.33899999999999997,1210.0,1380.0,28.0,31.0
San Diego State University,True,69842,0.34,1110.0,1320.0,22.0,29.0
Kenyon College,True,6662,0.341,1270.0,1460.0,29.0,33.0
College of the Holy Cross,True,7200,0.342,1260.0,1430.0,28.0,32.0
Bucknell University,True,9845,0.342,1255.0,1430.0,28.0,32.0
Emerson College,True,12941,0.35600000000000004,1200.0,1390.0,27.0,31.0
Pepperdine University,True,11265,0.35700000000000004,1220.0,1420.0,26.0,32.0
Hampton University,True,13028,0.36,1040.0,1310.0,19.0,24.0
